t/AndreaTagarelli,Andrea Tagarelli,University of Calabria, Cosenza, Italy
204/1095,Serina Chang,None
13/10542,Johan Ugander,None
170/8182,Zhouhan Chen,None
297/7897,Haohan Chen,None
f/JulianaFreire,Juliana Freire,New York University Tandon School of Engineering, New York City, USA
331/5872,Amy Z. Chen,None
331/6298,Andrew H. Zhao,None
307/7599,Chae-eun Park,None
47/1504,Michael L. Best,None
17/4969-1,Lu Cheng 0001,University of Illinois Chicago, Department of Computer Science, IL, USA
167/4378,Ruocheng Guo,Arizona State University, Tempe, AZ, USA
c/KSelcukCandan,Kasim Selçuk Candan,Arizona State University, Tempe, Arizona, USA
92/309-1,Huan Liu 0001,Arizona State University, School of Computing, Informatics, and Decision Systems Engineering, Tempe, AZ, USA
318/9239,Yun Yu Chong,None
21/2483,Wenjing Chu,None
267/0092,Federico Cinus,None
305/9106,Marco Minici,None
319/4032,Giuseppe Crupi,None
224/0145,Michele Tizzani,None
167/3215,Daniela Paolotti,None
83/478,André Panisson,None
305/0432,Jesse Cui,None
305/0429,Tingdan Zhang,None
223/2616,Dandan Pang,None
147/9142,Garrick Sherman,None
27/9850,Vinit Jakhetiya,None
311/4517,Justyna Czestochowska,None
218/5344,Kristina Gligoric,None
184/3721,Maxime Peyrard,None
311/5319,Yann Mentha,None
281/0377,Michal Bien,None
311/5369,Andrea Grütter,None
311/5106,Anita Auer,None
65/851,Aris Xanthos,None
226/7317,Kiril Danilchenko,None
s/MichaelSegal,Michael Segal 0001,Ben-Gurion University, Beersheba, Israel
v/DanVilenchik,Dan Vilenchik,Ben-Gurion University, Israel
276/6900,Arkin Dharawat,None
136/7883,Ismini Lourentzou,None
130/0396,Alex Morales,None
z/ChengXiangZhai,ChengXiang Zhai,University of Illinois Urbana-Champaign, IL, USA
331/6320,Jane Dilkes,None
254/0526,Tingting Du,None
223/0137,Prasanna Umar,None
s/AnnaCinziaSquicciarini,Anna Cinzia Squicciarini,Pennsylvania State University, College of Information Sciences and Technology, State College, PA, USA
148/4303,Hridoy Sankar Dutta,None
263/9750,Nirav Diwan,None
65/2136-2,Tanmoy Chakraborty 0002,Indian Institute of Technology Delhi, India (IIT Delhi)
273/5728,Régis Ebeling,None
295/8225,Carlos Abel Córdova Sáenz,None
78/7495,Jéferson Campos Nobre,University of Vale do Rio dos Sinos, Sao Leopoldo, Brazil
00/3080,Karin Becker,None
181/4635,Ziv Epstein,None
308/6042,Nicolò Foppiani,None
233/6276,Sophie Hilgard,None
222/1994,Sanjana Sharma,None
118/6231,Elena L. Glassman,Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA
